USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          2  0.0  0.0      0     0 ?        S    May03   0:00 [kthreadd]
root        130  0.0  0.0      0     0 ?        S    May03   0:01  \_ [migration/24]
root        131  0.0  0.0      0     0 ?        S    May03   0:00  \_ [ksoftirqd/24]
root        133  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/24:0H]
root        134  0.0  0.0      0     0 ?        S    May03   0:05  \_ [watchdog/25]
root        135  0.0  0.0      0     0 ?        S    May03   1:09  \_ [migration/25]
root        136  0.0  0.0      0     0 ?        S    May03   0:05  \_ [ksoftirqd/25]
root        138  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/25:0H]
root        139  0.0  0.0      0     0 ?        S    May03   0:04  \_ [watchdog/26]
root        140  0.0  0.0      0     0 ?        S    May03   0:11  \_ [migration/26]
root        141  0.0  0.0      0     0 ?        S    May03   0:00  \_ [ksoftirqd/26]
root        143  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/26:0H]
root        144  0.0  0.0      0     0 ?        S    May03   0:04  \_ [watchdog/27]
root        145  0.0  0.0      0     0 ?        S    May03   0:04  \_ [migration/27]
root        146  0.0  0.0      0     0 ?        S    May03   0:00  \_ [ksoftirqd/27]
root        148  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/27:0H]
root        149  0.0  0.0      0     0 ?        S    May03   0:04  \_ [watchdog/28]
root        150  0.0  0.0      0     0 ?        S    May03   0:03  \_ [migration/28]
root        151  0.0  0.0      0     0 ?        S    May03   0:00  \_ [ksoftirqd/28]
root        153  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/28:0H]
root        154  0.0  0.0      0     0 ?        S    May03   0:04  \_ [watchdog/29]
root        155  0.0  0.0      0     0 ?        S    May03   0:02  \_ [migration/29]
root        156  0.0  0.0      0     0 ?        S    May03   0:00  \_ [ksoftirqd/29]
root        158  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/29:0H]
root        159  0.0  0.0      0     0 ?        S    May03   0:04  \_ [watchdog/30]
root        160  0.0  0.0      0     0 ?        S    May03   0:01  \_ [migration/30]
root        161  0.0  0.0      0     0 ?        S    May03   0:00  \_ [ksoftirqd/30]
root        163  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/30:0H]
root        164  0.0  0.0      0     0 ?        S    May03   0:04  \_ [watchdog/31]
root        165  0.0  0.0      0     0 ?        S    May03   0:01  \_ [migration/31]
root        166  0.0  0.0      0     0 ?        S    May03   0:00  \_ [ksoftirqd/31]
root        168  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/31:0H]
root        171  0.0  0.0      0     0 ?        S    May03   0:00  \_ [kdevtmpfs]
root        172  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [netns]
root        173  0.0  0.0      0     0 ?        S    May03   0:02  \_ [khungtaskd]
root        174  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [writeback]
root        175  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kintegrityd]
root        176  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [bioset]
root        177  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [bioset]
root        178  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [bioset]
root        179  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kblockd]
root        180  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [md]
root        181  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [edac-poller]
root        182  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [watchdogd]
root        189  0.0  0.0      0     0 ?        S    May03   0:00  \_ [kswapd0]
root        190  0.0  0.0      0     0 ?        S    May03   0:00  \_ [kswapd1]
root        191  0.0  0.0      0     0 ?        SN   May03   0:00  \_ [ksmd]
root        192  0.0  0.0      0     0 ?        SN   May03   0:06  \_ [khugepaged]
root        193  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [crypto]
root        201  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kthrotld]
root        205  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kmpath_rdacd]
root        206  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kaluad]
root        208  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kpsmoused]
root        209  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [ipv6_addrconf]
root        222  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [deferwq]
root        258  0.0  0.0      0     0 ?        S    May03   0:06  \_ [kauditd]
root        625  0.0  0.0      0     0 ?        S    May03   0:07  \_ [kworker/21:1]
root       1070  0.0  0.0      0     0 ?        S    May03   0:00  \_ [scsi_eh_0]
root       1074  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [scsi_tmf_0]
root       1221  0.0  0.0      0     0 ?        S    May03   0:07  \_ [kworker/23:1]
root       1490  0.0  0.0      0     0 ?        S    May03   0:07  \_ [kworker/16:1]
root       1494  0.0  0.0      0     0 ?        S    May03   0:08  \_ [kworker/22:1]
root       1496  0.0  0.0      0     0 ?        S    May03   0:03  \_ [kworker/31:1]
root       1501  0.0  0.0      0     0 ?        S    May03   0:04  \_ [kworker/30:1]
root       1505  0.0  0.0      0     0 ?        S    May03   0:19  \_ [kworker/19:1]
root       1507  0.0  0.0      0     0 ?        S    May03   0:07  \_ [kworker/28:1]
root       1810  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [bnx2x]
root       1811  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [bnx2x_iov]
root       2673  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [ttm_swap]
root       7029  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [bioset]
root       7032  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfsalloc]
root       7033  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs_mru_cache]
root       7040  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-buf/sda3]
root       7042  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-data/sda3]
root       7043  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-conv/sda3]
root       7044  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-cil/sda3]
root       7045  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-reclaim/sda]
root       7048  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-log/sda3]
root       7049  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-eofblocks/s]
root       7052  0.0  0.0      0     0 ?        S    May03   8:57  \_ [xfsaild/sda3]
root       7056  0.0  0.0      0     0 ?        S<   May03   0:03  \_ [kworker/9:1H]
root       8815  0.0  0.0      0     0 ?        SN   May03   0:00  \_ [kipmi0]
root      10555  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-buf/sda2]
root      10556  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-data/sda2]
root      10558  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-conv/sda2]
root      10560  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-cil/sda2]
root      10562  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-reclaim/sda]
root      10564  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-log/sda2]
root      10566  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-eofblocks/s]
root      10573  0.0  0.0      0     0 ?        S    May03   0:00  \_ [xfsaild/sda2]
root      10694  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-buf/sda4]
root      10702  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-data/sda4]
root      10716  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-conv/sda4]
root      10732  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-cil/sda4]
root      10750  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-reclaim/sda]
root      10758  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-log/sda4]
root      10765  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [xfs-eofblocks/s]
root      10766  0.0  0.0      0     0 ?        S    May03   0:00  \_ [xfsaild/sda4]
root      12451  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kvm-irqfd-clean]
root      13664  0.0  0.0      0     0 ?        S<   May03   0:04  \_ [kworker/11:1H]
root      13665  0.0  0.0      0     0 ?        S<   May03   0:10  \_ [kworker/12:1H]
root      13815  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/21:1H]
root      13832  0.0  0.0      0     0 ?        S    May03   4:34  \_ [kworker/24:2]
root      13879  0.0  0.0      0     0 ?        S<   May03   0:09  \_ [kworker/14:1H]
root      13880  0.0  0.0      0     0 ?        S<   May03   0:04  \_ [kworker/15:1H]
root      13890  0.0  0.0      0     0 ?        S<   May03   0:05  \_ [kworker/10:1H]
root      13896  0.0  0.0      0     0 ?        S<   May03   0:15  \_ [kworker/13:1H]
root      13942  0.0  0.0      0     0 ?        S<   May03   0:07  \_ [kworker/4:1H]
root      20242  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/17:1H]
root      20243  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/1:1H]
root      21340  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/25:1H]
root      23189  0.0  0.0      0     0 ?        S<   May03   0:02  \_ [kworker/3:1H]
root      23264  0.0  0.0      0     0 ?        S<   May03   0:02  \_ [kworker/7:1H]
root      23265  0.0  0.0      0     0 ?        S<   May03   0:03  \_ [kworker/8:1H]
root      23578  0.0  0.0      0     0 ?        S<   May03   0:01  \_ [kworker/0:1H]
root      25860  0.0  0.0      0     0 ?        S<   May03   0:00  \_ [kworker/19:1H]
root      28385  0.0  0.0      0     0 ?        S<   May04   0:12  \_ [kworker/5:1H]
root      28396  0.0  0.0      0     0 ?        S<   May04   0:06  \_ [kworker/6:1H]
root      28397  0.0  0.0      0     0 ?        S<   May04   0:03  \_ [kworker/2:1H]
root       1406  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/27:1H]
root       7239  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/18:1H]
root       8821  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/22:1H]
root       8822  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/16:1H]
root       8853  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/23:1H]
root       8992  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/20:1H]
root      12586  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/28:1H]
root      13128  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/30:1H]
root      22865  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/24:1H]
root      32067  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/26:1H]
root       8182  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [iscsi_eh]
root       8529  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kmpathd]
root       8530  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kmpath_handlerd]
root       9714  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [dm_bufio_cache]
root       9731  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [target_completi]
root       9732  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [tmr-rd_mcp]
root       9735  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [xcopy_wq]
root      11453  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/31:1H]
root      11615  0.0  0.0      0     0 ?        S<   May04   0:00  \_ [kworker/29:1H]
root     112548  0.0  0.0      0     0 ?        S    May05   0:00  \_ [kworker/19:0]
root      31064  0.0  0.0      0     0 ?        S    May06   0:43  \_ [kworker/4:2]
root     103538  0.0  0.0      0     0 ?        S    May06   0:05  \_ [kworker/29:0]
root     104677  0.0  0.0      0     0 ?        S    May06   0:10  \_ [kworker/20:1]
root     120769  0.0  0.0      0     0 ?        S    May07   0:13  \_ [kworker/27:2]
root      88337  0.0  0.0      0     0 ?        S    May07   0:00  \_ [kworker/23:0]
root      35250  0.0  0.0      0     0 ?        S    May07   0:00  \_ [kworker/18:1]
root     102472  0.0  0.0      0     0 ?        S    May09   0:56  \_ [kworker/1:1]
root     106956  0.0  0.0      0     0 ?        S    May09   0:00  \_ [kworker/22:0]
root       9276  0.0  0.0      0     0 ?        S    May10   0:29  \_ [kworker/5:1]
root     120272  0.0  0.0      0     0 ?        S    May10   0:00  \_ [kworker/16:0]
root     120324  0.0  0.0      0     0 ?        S    May10   0:24  \_ [kworker/7:2]
root      33997  0.0  0.0      0     0 ?        S    May11   0:00  \_ [kworker/24:1]
root      61917  0.0  0.0      0     0 ?        S    May12   0:23  \_ [kworker/6:2]
root      70986  0.0  0.0      0     0 ?        S    May12   0:14  \_ [kworker/15:2]
root      71967  0.0  0.0      0     0 ?        S    May12   0:12  \_ [kworker/8:0]
root     115615  0.0  0.0      0     0 ?        S<   May12   0:00  \_ [dio/sda3]
root     121514  0.0  0.0      0     0 ?        S    May12   0:00  \_ [kworker/30:0]
root       5808  0.0  0.0      0     0 ?        S    May12   0:00  \_ [kworker/29:2]
root      56312  0.0  0.0      0     0 ?        S    May12   0:00  \_ [kworker/20:0]
root      46838  0.0  0.0      0     0 ?        S    May13   0:00  \_ [kworker/8:2]
root      47243  0.0  0.0      0     0 ?        S    May13   0:12  \_ [kworker/18:2]
root      56827  0.0  0.0      0     0 ?        S    May13   0:00  \_ [kworker/27:1]
root      66997  0.0  0.0      0     0 ?        S    May13   3:02  \_ [kvm-pit/191]
root      42384  0.0  0.0      0     0 ?        S    May14   0:24  \_ [kworker/12:1]
root      62263  0.0  0.0      0     0 ?        S    May14   0:05  \_ [kworker/9:0]
root      63258  0.0  0.0      0     0 ?        S    May14   0:17  \_ [kworker/13:1]
root      40425  0.0  0.0      0     0 ?        S    May15   0:00  \_ [kworker/31:2]
root       1498  0.0  0.0      0     0 ?        S    May15   0:00  \_ [kworker/25:1]
root      14408  0.0  0.0      0     0 ?        S    May15   0:08  \_ [kworker/25:0]
root     108465  0.0  0.0      0     0 ?        S    May16   0:07  \_ [kworker/17:2]
root      45698  0.0  0.0      0     0 ?        S    May16   0:00  \_ [kworker/5:0]
root      77347  0.0  0.0      0     0 ?        S    May17   0:06  \_ [kworker/26:1]
root      41737  0.0  0.0      0     0 ?        S    May17   0:00  \_ [kworker/26:0]
root     105346  0.0  0.0      0     0 ?        S    May19   0:00  \_ [kworker/6:0]
root      42708  0.0  0.0      0     0 ?        S    May19   0:11  \_ [kworker/11:1]
root       4856  0.0  0.0      0     0 ?        S    May19   0:00  \_ [kworker/4:0]
root      23826  0.0  0.0      0     0 ?        S    May20   0:04  \_ [kworker/9:2]
root      24977  0.0  0.0      0     0 ?        S    May20   0:00  \_ [kworker/2:1]
root      25366  0.0  0.0      0     0 ?        S    May20   0:00  \_ [kworker/28:2]
root      25380  0.0  0.0      0     0 ?        S    May20   0:00  \_ [kworker/1:0]
root      25995  0.0  0.0      0     0 ?        S    May20   0:00  \_ [kworker/21:0]
root      46215  0.0  0.0      0     0 ?        S    May20   0:00  \_ [kworker/13:0]
root     118018  0.0  0.0      0     0 ?        S    May20   0:09  \_ [kworker/2:0]
root     101857  0.0  0.0      0     0 ?        S    May20   0:00  \_ [kworker/u65:1]
root      86811  0.0  0.0      0     0 ?        S    May20   0:00  \_ [kworker/12:2]
root      65413  0.0  0.0      0     0 ?        S    May21   0:00  \_ [kworker/7:1]
root      41984  0.0  0.0      0     0 ?        S    May21   0:03  \_ [kworker/10:0]
root      50293  0.0  0.0      0     0 ?        S    May21   2:15  \_ [kworker/0:2]
root       1205  0.0  0.0      0     0 ?        S    May22   0:00  \_ [kworker/15:1]
root      14367  0.0  0.0      0     0 ?        S    May23   0:01  \_ [kworker/17:0]
root      13696  0.0  0.0      0     0 ?        S    May23   0:00  \_ [kworker/10:2]
root      24583  0.0  0.0      0     0 ?        S    00:38   0:00  \_ [kworker/u66:0]
root      96328  0.0  0.0      0     0 ?        S    03:02   0:00  \_ [kworker/u66:1]
root      76423  0.0  0.0      0     0 ?        S    04:46   0:00  \_ [kworker/11:2]
root     126649  0.0  0.0      0     0 ?        S    07:01   0:00  \_ [kworker/3:2]
root      29157  0.0  0.0      0     0 ?        S    08:11   0:00  \_ [kworker/u65:2]
root     130131  0.0  0.0      0     0 ?        S    11:40   0:02  \_ [kworker/u64:0]
root      42619  0.0  0.0      0     0 ?        S    11:59   0:00  \_ [kworker/3:0]
root      59332  0.0  0.0      0     0 ?        S    13:02   0:02  \_ [kworker/u64:1]
root     121850  0.0  0.0      0     0 ?        S    16:19   0:00  \_ [kworker/14:0]
root     130786  0.0  0.0      0     0 ?        S    16:23   0:00  \_ [kworker/0:0]
root       3903  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [kworker/14:2]
root      11954  0.0  0.0      0     0 ?        S    16:28   0:00  \_ [kworker/0:1]
root      17042  0.0  0.0      0     0 ?        S    16:30   0:00  \_ [kworker/14:1]
root          1  0.0  0.0 195760  9036 ?        Ss   May03   9:40 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root       7157  0.0  0.0  48076  5472 ?        Ss   May03   0:01 /usr/lib/systemd/systemd-udevd
root      13490  0.0  0.0  55520  1116 ?        S<sl May03   0:23 /sbin/auditd
dbus      13513  0.0  0.0  66764  2932 ?        Ssl  May03   0:57 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root      13515  0.0  0.0  21804  1384 ?        Ss   May03   8:07 /usr/sbin/irqbalance --foreground
polkitd   13521  0.0  0.0 613016 13384 ?        Ssl  May03   0:08 /usr/lib/polkit-1/polkitd --no-debug
root      13522  0.0  0.0  26376  1764 ?        Ss   May03   0:08 /usr/lib/systemd/systemd-logind
root      13543  0.0  0.0 126288  1696 ?        Ss   May03   0:02 /usr/sbin/crond -n
root      13548  0.0  0.0 110104   868 tty1     Ss+  May03   0:00 /sbin/agetty --noclear tty1 linux
root      13575  0.0  0.0 362496 33660 ?        Ssl  May03   0:22 /usr/bin/python -Es /usr/sbin/firewalld --nofork --nopid
root      14191  0.0  0.0 115708   728 ?        Ss   May03   0:00 /usr/bin/rhsmcertd
root      14197  0.0  0.0 107968   636 ?        Ss   May03   0:00 rhnsd
root      14832  0.0  0.0  89648  2180 ?        Ss   May03   0:08 /usr/libexec/postfix/master -w
postfix   14857  0.0  0.0  89820  4084 ?        S    May03   0:01  \_ qmgr -l -t unix -u
postfix   69511  0.0  0.0  89752  4096 ?        S    15:56   0:00  \_ pickup -l -t unix -u
root       8300  0.0  0.0 112864  4340 ?        Ss   May04   0:00 /usr/sbin/sshd -D
root      20216  0.4  0.0 161420  6296 ?        Ss   16:31   0:00  \_ sshd: root@pts/1
root      20287  0.6  0.0 120860  7424 pts/1    Ss   16:31   0:00  |   \_ -bash
root      21155  0.0  0.0 155740  2304 pts/1    R+   16:32   0:00  |   |   \_ ps aufx ww
